tabla,fila,campo,valor,error
Reseñas_Usuarios,1,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,1,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,5,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,6,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,7,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,8,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,12,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,13,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,14,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,15,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,16,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,18,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,20,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,25,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,27,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,29,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,30,calificacion,2-5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,30,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,32,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,33,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,34,comentario,,Valor prohibido o nulo en campo 'comentario'
Reseñas_Usuarios,36,calificacion,,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,38,calificacion,10/5,Calificación no válida o fuera del rango [1-5]
Reseñas_Usuarios,38,comentario,,Valor prohibido o nulo en campo 'comentario'
